%time,field.data
1439976730761183023,  100  -262  1012   587   634  2469    39   -56  -407

1439976730798913955,   30  -189   994   507   710  1727    40   -55  -408

1439976730838804006,   12  -280  1104   893   550  2236    41   -55  -411

1439976730878968000,    7  -214  1119   624   497  2164    39   -55  -410

1439976730920916080,  -56  -168  1102  -713   -92  1684    41   -52  -411

1439976730960057020,   55  -357  1125  1031  -138  1010    37   -50  -410

1439976731000164031,   -9  -280  1159  1229    79  1510    36   -53  -410

1439976731040580987,   55  -287  1146   599  -668   641    33   -53  -409

1439976731080288887,   92  -256  1165  1810  -235  -614    31   -56  -408

1439976731120573043,  259  -328  1200  2167    58  -974    31   -64  -405

1439976731160841941,   30  -209  1302  2632  1461 -1434    38   -74  -402

1439976731200038909,   65  -276  1304  3002  -681 -3049    43   -86  -399

1439976731240289926,  207  -180  1198  2679   238 -3076    47   -98  -393

1439976731280138969,  143  -155  1096  3597  1675 -3390    57  -110  -389

1439976731320633888,  197  -192  1043  3947  2646 -3134    72  -124  -382

1439976731360569000,  108  -126  1015  5043  4269 -3171    96  -142  -372

1439976731398869037,   19   -94   860  4920  4166 -4660   122  -158  -359

1439976731438868999, -109    -3   776  4579  4148 -4389   151  -171  -344

1439976731478956937, -222    55   823  3931  1711 -6523   178  -178  -332

1439976731520098924, -373   167   911  2947 -1508 -10146   205  -177  -324

1439976731559956073, -324   132   875  1109 -3968 -11271   230  -160  -325

1439976731599631071, -519   308   922   -73 -4969 -9395   247  -139  -336

1439976731639813899, -386   344   836 -2566 -7192 -6153   243  -117  -354

1439976731680223941, -235     5   875  -990 -4647 -6433   238   -97  -368

1439976731720283031, -490   137  1028  -899 -7981 -6156   228   -80  -382

1439976731759788990, -190   278   907 -1871 -8710 -3067   201   -66  -397

1439976731799806118,   42    10   940 -3880 -7423 -1196   171   -46  -413

1439976731839843988,  -96   -76  1001 -1928 -6973   536   142   -34  -422

1439976731880489110,  342    15   821 -2869 -8049  1123   114   -25  -426

1439976731920401096,  353  -298   934   -80 -3835  2169    85   -13  -428

1439976731959801912,  130   -22   891  -247 -4053  7199    65   -11  -428

1439976731998960971,  540  -238   854  -575 -3132  7044    37    -2  -427

1439976732038861989,  264  -156   851   440 -2459  8034    22     3  -424

1439976732078902006,  535  -202   800    -3 -3056 10652     0    14  -420

1439976732119020938,  454  -424   844  1998  -561 10044   -16    24  -418

1439976732160125017,  393  -456   874  3765   665 12701   -22    27  -415

1439976732200156927,  395  -525   886  5142  1464 11953   -25    27  -415

1439976732239823102,  462  -645   947  7672  4031 12605   -21    15  -415

1439976732280334949,  296  -466   975  6797  4253 13353   -13     2  -415

1439976732320199966,  242  -717  1047  8177  3671  7653    -9   -18  -413

1439976732360165119,  207  -600  1015  9111  3886  7261    -2   -49  -405

1439976732400094032,  237  -566  1044  8550  4193  8139    -2   -78  -397

1439976732440830945,  114  -397  1049  9788  4662  3289     4  -111  -381

1439976732480257034,   74   -51   960  7628  4025  1746    13  -144  -366

1439976732519922018,  -77   -64  1043  6844  4473  2195    23  -168  -351

1439976732559607028, -174   133   994  6300  3215  -176    31  -190  -335

1439976732598862886, -134   160   955  4691  1075 -2041    42  -210  -321

1439976732638802051, -180   199   889  4183  2316 -1831    54  -223  -308

1439976732678898096, -436   332   840  3283   342 -3841    67  -234  -298

1439976732719897031, -504   354   834  2599 -1442 -4582    83  -241  -291

1439976732759462118, -641   389   786  2287 -2317 -4994    96  -247  -285

1439976732800116062, -632   386   771   883 -5472 -8679   112  -246  -283

1439976732840255975, -759   362   831  1193 -5309 -9524   135  -243  -286

1439976732879611968, -688   148   942  1472 -7442 -12716   159  -234  -290

1439976732919994115, -641   267   961  2343 -6739 -12685   181  -225  -293

1439976732959652900, -726   291  1027  2270 -6797 -12857   209  -212  -297

1439976733000041961, -642   222  1069  2383 -6323 -10433   232  -195  -304

1439976733039624929, -601   315  1022  1160 -6324 -10778   248  -181  -311

1439976733079580068, -603    38  1055  1591 -7178 -15106   268  -151  -326

1439976733119787931, -631   183  1000  4673 -6374 -9325   280  -131  -333

1439976733159718036, -615   524   977  2037 -9127 -11013   278  -119  -344

1439976733199029922, -399   245  1006  1806 -8902 -9245   271   -99  -362

1439976733238791942, -511   467   910    69 -9688 -7237   253   -87  -376

1439976733278924942, -197   415   920    45 -11604 -9505   227   -67  -398

1439976733319984912, -250   506   903  -585 -10571 -2836   192   -57  -411

1439976733360043048,   94   344   833 -1406 -12226 -3362   143   -46  -425

1439976733399799108,   55   480   802 -1335 -11221  1026    94   -38  -428

1439976733439887046,  506   192   707 -4253 -12253  3538    35   -19  -427

1439976733480098962,  706    -9   765  -575 -7253  4043   -12    -1  -420

1439976733521086931,  552   199   650 -1020 -6345 10948   -43    14  -411

1439976733561240911, 1111  -390   593  -567 -6513  7325   -79    41  -399

1439976733600584983,  788  -223   458  3441  -111 13298   -92    55  -392

1439976733640006065,  671  -277   495  1569 -1249 17431   -91    90  -393

1439976733680224895,  909  -792   480  5634  1062 13873   -87   105  -394

1439976733720319032,  517  -647   516  5341  1470 21669   -69   125  -401

1439976733760072946,  456  -923   701  5941   165 15047   -51   137  -407

1439976733798891067,  264  -664   707  6682   945 11431   -41   132  -413

1439976733838906049,  137  -717   683  5462  -348 13849   -32   130  -417

1439976733878880023,  143  -720   839  7048   902 13331   -21   122  -422

1439976733919219017,  -53  -605   815  7240   301 12042   -16   111  -424

1439976733960434913, -158  -612   980  7253  -447 14133   -12    98  -426

1439976734000216960, -113  -469   947  8135  -867 11662   -16    81  -426

1439976734039670944, -116  -452   958  8354  -676 10408   -22    59  -425

1439976734079642057, -152  -312   995  8778   285  9293   -28    35  -421

1439976734119967937, -184  -262   978  8835    66  6107   -34     9  -415

1439976734159931898, -185  -107   947  9119  1339  3846   -40   -24  -407

1439976734199557065, -265   -47  1012  7832  1194  4499   -42   -53  -397

1439976734240183115, -221    47   997  7848   930  2973   -47   -79  -385

1439976734279756069, -262   145   999 10253   417    46   -50  -116  -368

1439976734320420026, -206   475   944  8238  1505  3374   -54  -147  -346

1439976734359976053, -302   526  1008  7013   172 -1369   -57  -170  -330

1439976734398890972, -511   785  1063  3395 -4272 -11295   -46  -198  -312

1439976734438899040, -598   704   943   941 -7532 -12004   -22  -218  -302

1439976734478985071, -657   790   891 -1076 -8065 -10033   -12  -227  -295

1439976734519376993, -765   785   801 -7568 -13056 -20590    13  -225  -305

